Monument,Latitude,Longitude, Accès PMR
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,1
Arena Champ-De-Mars,48.85590537230599,2.298716812520215,1
Arena Paris Sud,48.829812315297296,2.2902483804920672,1
Arena Porte De La Chapelle,48.89883690622994,2.358645288921939,1
Grand Palais,48.866193763087125,2.312958652194372,1
Invalides,48.85938385714706,2.31381534550495,1
Parc Des Princes,48.8415221048306,2.254091093985256,1
Pont Alexandre III,48.86399122477761,2.314342201926265,1
Pont D'Iéna Trocadro,48.860023258802016,2.292540738701531,1
Stade Roland-Garros,48.84729431302038,2.2497522487592865,1
Jardin De La Tour Effeil,48.85745847508344,2.295692673588676,1
Stade De France,48.924616059479135,2.3611368498110514,1
Centre Aquatique,48.92400659886595,2.3552793489905874,1
Paris La Défense Arena,48.89576451999719,2.230580863301762,1
Arena Paris Nord,48.97193911486956,2.514246790073071,1
Site D'Escalade Bourget,48.937656147280016,2.4200826596024627,1
Stade Yves-Du-Manoir,48.92941804592227,2.248976007483028,1
Vlodrome National,48.78810881456671,2.03431456675395,1
Colline d'Élancourt,48.78889747716463,1.969600903479004,1
Château De Versailles,48.80523505526362,2.120321138926769,1
Stade Nautique De Vaires-Sur-Marne,48.86055395715555,2.6382295037769774,1
Tour Eiffel ,48.85837,2.294481,1
Esplanade Des Invalides,48.855849,2.312568,1
L'Arc De Triomphe,48.873792,2.295028,1
Le Pantheon,48.846278,2.34627,1
Le Musée Du Louvre,48.860611,2.337644,1
Le Grand Palais,48.866109,2.312454,1
Le Petit Palais,48.866048,2.31459,1
La Sainte-Chapelle,48.855375,2.344961,1
L'Opéra Garnier,48.87197,2.331601,1
Le Sacré-Coeur De Montmartre,48.886705,2.343104,1
Champ-De-Mars,48.886705,2.343104,1
Place De La Concorde,48.865633,2.321236,0
Bibliothéque Nationale De France,48.833836,2.376544,1
